"GRNSIZEID","GRNSIZE","GRNSIZEABB","GRNSIZEMIN","GRNSIZEMAX","CREATED_AT","UPDATED_AT"
1,Sand,Sa,0.0630,2.0000,2021-11-19 12:11:05.011 +0100,
2,Silt,Si,0.0020,0.0630,2021-11-19 12:11:05.011 +0100,
3,Clay,Cl,,0.0020,2021-11-19 12:11:05.011 +0100,
4,Large boulder,LBo,630.0000,,2021-11-19 12:11:05.011 +0100,
5,Boulder,Bo,200.0000,630.0000,2021-11-19 12:11:05.011 +0100,
6,Cobble,Co,63.0000,200.0000,2021-11-19 12:11:05.011 +0100,
7,Gravel,Gr,2.0000,63.0000,2021-11-19 12:11:05.011 +0100,
71,Coarse gravel,CGr,20.0000,63.0000,2021-11-19 12:11:05.011 +0100,
72,Medium gravel,MGr,6.3000,20.0000,2021-11-19 12:11:05.011 +0100,
73,Fine gravel,FGr,2.0000,6.3000,2021-11-19 12:11:05.011 +0100,
31,Coarse sand,CSa,0.6300,2.0000,2021-11-19 12:11:05.011 +0100,
32,Medium sand,MSa,0.2000,0.6300,2021-11-19 12:11:05.011 +0100,
33,Fine sand,FSa,0.0630,0.2000,2021-11-19 12:11:05.011 +0100,
21,Coarse silt,CSi,0.0200,0.0630,2021-11-19 12:11:05.011 +0100,
22,Medium silt,MSi,0.0063,0.0200,2021-11-19 12:11:05.011 +0100,
23,Fine silt,FSi,0.0020,0.0063,2021-11-19 12:11:05.011 +0100,
50,Pebble,Pe,4.0000,64.0000,2021-11-19 12:11:05.011 +0100,
12,Silty Sand,SiSa,0.0020,2.0000,2021-11-19 12:11:05.011 +0100,
13,Clayey Sand,ClSa,,2.0000,2021-11-19 12:11:05.011 +0100,
14,Mix of Sand and Large boulder,SaLBo,0.0630,,2021-11-19 12:11:05.011 +0100,
15,Mix of Sand and Boulder,SaBo,0.0630,630.0000,2021-11-19 12:11:05.011 +0100,
16,Mix of Sand and Cobble,SaCo,0.0630,200.0000,2021-11-19 12:11:05.011 +0100,
17,Mix of Sand and Gravel,SaGr,0.0630,63.0000,2021-11-19 12:11:05.011 +0100,
56,Mix of Boulders and Cobbles,BoCo,63.0000,630.0000,2021-11-19 12:11:05.011 +0100,
65,Mix of Cobbles and Boulders,CoBo,63.0000,630.0000,2021-11-19 12:11:05.011 +0100,
80,Sediment (unspecified),Sed,,,2021-11-19 12:11:05.011 +0100,
81,Loam,Lo,,2.0000,2021-11-19 12:11:05.011 +0100,
100,Bedrock,Bed,,,2021-11-19 12:11:05.011 +0100,
-9999,ND,ND,,,2021-11-19 12:11:05.011 +0100,
