"GEOTYPEID","GEOTYPE","CREATED_AT","UPDATED_AT","PARENTID"
-9999,"ND","2021-11-19 12:11:05.011 +0100","",NA
1,"Terrace","2021-11-19 12:11:05.011 +0100","",NA
2,"Floodplain","2021-11-19 12:11:05.011 +0100","",NA
3,"Alluvial fan","2021-11-19 12:11:05.011 +0100","2024-09-27 13:18:02.795 +0200",31
4,"Bench","2021-11-19 12:11:05.011 +0100","",NA
5,"Island","2021-11-19 12:11:05.011 +0100","",NA
6,"Slack water deposit","2021-11-19 12:11:05.011 +0100","",NA
7,"Levee","2021-11-19 12:11:05.011 +0100","",NA
8,"Dune","2021-11-19 12:11:05.011 +0100","",NA
9,"Sandsheet","2021-11-19 12:11:05.011 +0100","",NA
10,"Beach / Shoreline","2021-11-19 12:11:05.011 +0100","",NA
11,"Nearshore deposit","2021-11-19 12:11:05.011 +0100","",NA
12,"Lake floor","2021-11-19 12:11:05.011 +0100","",NA
13,"Lakeshore terrace","2021-11-19 12:11:05.011 +0100","2024-09-27 13:16:08.479 +0200",1
14,"Deflated cliff","2021-11-19 12:11:05.011 +0100","",NA
15,"Bar","2021-11-19 12:11:05.011 +0100","",NA
16,"Washover fan","2024-09-27 13:14:25.069 +0200","2024-09-27 13:18:03.172 +0200",31
17,"Aeolianite","2024-09-27 13:14:25.069 +0200","",NA
18,"Tsunami deposit","2024-09-27 13:14:25.069 +0200","",NA
19,"Marine terrace","2024-09-27 13:14:25.069 +0200","",1
20,"Clifftop dune","2024-09-27 13:14:25.069 +0200","",8
21,"Coastal barrier (not specific)","2024-09-27 13:14:25.069 +0200","",NA
22,"Coastal barrier (ridge plain)","2024-09-27 13:14:25.069 +0200","",NA
23,"Coastal barrier (transgressive dune)","2024-09-27 13:14:25.069 +0200","",8
24,"Cheniers","2024-09-27 13:14:25.069 +0200","",NA
25,"Flood-tide delta","2024-09-27 13:14:25.069 +0200","",NA
26,"Terrestrial dune","2024-09-27 13:14:25.069 +0200","",8
27,"Estuarine floodplain","2024-09-27 13:14:25.069 +0200","",2
28,"Delta front","2024-09-27 13:14:25.069 +0200","",NA
29,"Shoreface","2024-09-27 13:14:25.069 +0200","",NA
30,"Deep sea bed","2024-09-27 13:14:25.069 +0200","",NA
31,"Fan","2024-09-27 13:17:46.818 +0200","2024-09-27 13:17:46.818 +0200",NA
